FID,CLASS,ROUTE_NO,SEG_NO,NAME,DATA_SRC,DESIG,EDITDATE,STATUS,STATCODE,DESC_SEG,,,,,TRAILROUTE,SUBDIST,Meters,Miles,Publish,TRLNAME,TRLALTNAME,TRLLABEL,TRLFEATTYPE,TRLSTATUS,TRLSURFACE,TRLTYPE,TRLCLASS,TRLUSE,DISTRIBUTE,RESTRICTION,UNITCODE,UNITNAME,GROUPCODE,REGIONCODE,ISEXTANT,CREATEDATE,CREATEUSER,EDITUSER,MAPMETHOD,MAPSOURCE,SRCESCALE,SOURCEDATE,XYERROR,LOCATIONID,FEATUREID,GEOMETRYID,NOTES,INPLACES,PLACESID,GlobalID,SHAPE_Length
1,1,104,5,Triple Divide,Imagery 2009, ,20120529,Imagery,TDPT,Old Red Eagle Tr Jct,Head Red Eagle Lake CG,,,,T-104,Saint Mary,1278,0.79,Yes,Triple Divide,,Triple Divide,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Imagery 2009,,,,46410,,{7AF53AB7-1922-4C18-847A-5CAA9CC5EA5E},,Yes,,{3562B52D-FB0B-4D4E-9097-EEFE83918193},0.013369367
2,1,52,6,Gunsight Pass,2009 Border Imagery, ,20120917,Imagery,GPTS,Sperry CG,Lake Ellen Wilson CG Jct,,,,T-052,Lake McDonald,3679,2.29,Yes,Gunsight Pass,,Gunsight Pass,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,2009 Border Imagery,,,,46153,,{B039D918-8370-4930-A1E0-AA5BF1B23B73},,Yes,,{61CB9628-1332-428E-BD77-363F34FD0C18},0.042274272
3,1,52,6,Gunsight Pass,2009 Border Imagery, ,20120917,Imagery,GPTS,Sperry Chalets,Sperry CG,,,,T-052,Lake McDonald,479,0.3,Yes,Gunsight Pass,,Gunsight Pass,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,2009 Border Imagery,,,,46153,,{002CD0E8-9383-4983-B831-D30E7622E82E},,Yes,,{40B4681B-839E-4025-8569-7B383C2437CC},0.004845671
4,1,52,3,Gunsight Pass,Trimble GeoXT, ,20051011,dGPS,SPRT,Mt Brown Tr Jct,Snyder Lake Tr Jct,,,,T-052,Lake McDonald,174,0.11,Yes,Gunsight Pass,,Gunsight Pass,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble GeoXT,,,,46153,,{C6B8D361-A55C-45DC-9E03-82D62E36CD63},,Yes,,{63CAFB60-B77C-4DD7-88C4-E094A6005B07},0.002067312
5,1,51,1,Sperry Galcier,2009 Border Imagery, ,20120917,Imagery, ,Gunsight Pass Tr Jct,Headwall,,,,T-051,Lake McDonald,4401,2.73,Yes,Sperry Galcier,,Sperry Galcier,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,2009 Border Imagery,,,,45421,,{D69E8084-841B-4031-B35A-A8A8E3DEBFA0},,Yes,,{DE043D2B-215F-48E1-BE0B-6E279EA4C048},0.050035427
6,1,47,2,Lincoln Lake,Trimble Pro XRS, ,20050928,dGPS,LILT,Snyder Ridge Tr Jct,Lincoln Cr Tr Jct,,,,T-047,Lake McDonald,4793,2.98,Yes,Lincoln Lake,,Lincoln Lake,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,45417,,{F2D6EBF3-C63D-45B8-803C-F9DACE24CB0D},,Yes,,{6978451F-95FE-4962-9EED-E448CDF13277},0.056614628
7,1,47,3,Lincoln Lake,Trimble Pro XRS, ,20050928,dGPS,LILT,Lincoln Creek Tr Jct,Lincoln Lake CG,,,,T-047,Lake McDonald,5855,3.64,Yes,Lincoln Lake,,Lincoln Lake,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,45417,,{5F2F46BF-605B-4772-ACB1-36C6B237A58B},,Yes,,{8CA68383-B920-45A3-B708-743A0EB56A90},0.069704372
8,1,67,3,South Boundary,Trimble Pro XRS, ,20050928,dGPS,SBTW,Lincoln Creek Tr Jct,Harrison Creek Tr Jct,,,,T-067,Lake McDonald,3097,1.92,Yes,South Boundary,,South Boundary,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,46353,,{7E8292B4-2468-4C73-9A5D-C22AE89CA87F},,Yes,,{F25F43C0-6F43-40CB-9D04-C5AB2B659587},0.037231246
9,2,68,1,Lincoln Creek,Trimble Pro XRS, ,20050928,dGPS, ,South Boundary Tr Jct,Lincoln Lake Tr Jct,,,,T-068,Lake McDonald,10918,6.78,Yes,Lincoln Creek,,Lincoln Creek,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Low Use / Low level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,46354,,{1495E58C-31FF-4DBE-915A-A3123C633857},,Yes,,{365D6080-B450-40BC-BABA-5AA888C2C374},0.11548905
10,1,117,2,Siyeh Pass,Trimble GeoXT, ,20050928,dGPS,SYPT,Spur Trail,Baring Cr Overlook,,,,T-117,Saint Mary,17,0.01,Yes,Siyeh Pass,,Siyeh Pass,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble GeoXT,,,,46418,,{6CA03701-D4E7-4D95-96A5-3F9CB35A8EF8},,Yes,,{5026755A-C883-4952-9F46-0C6E483D170F},0.000160925
